Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
1/4/2016 13:20,Product1,1200,Mastercard,Nuria,Superior                    ,CO,United States,1/4/2016 12:08,1/31/2016 13:17,39.97778,-105.13139
1/22/2016 12:32,Product1,1200,Mastercard,Tejal,London,England,United Kingdom,1/2/2015 9:51,1/31/2016 14:43,51.52721,0.14559
1/18/2016 6:09,Product1,1200,Mastercard,Ignacio,Engleside                   ,VA,United States,5/21/2007 18:56,1/31/2016 15:33,38.80472,-77.04722
1/8/2016 0:04,Product1,1200,Visa,ZOE,New Plymouth City,Taranaki,New Zealand,1/7/2016 23:34,1/31/2016 17:47,-39.0666667,174.0833333
1/24/2016 7:14,Product1,1200,Mastercard,nihan,Roanoke                     ,VA,United States,3/2/2015 7:35,1/31/2016 19:18,37.20556,-80.03778
1/24/2016 11:05,Product1,1200,Visa,alan,Norcross                    ,GA,United States,7/30/2007 15:16,1/31/2016 19:31,33.94111,-84.21361
1/6/2016 15:12,Product1,1200,Amex,lydia,Sandy Plains                ,GA,United States,9/23/2006 8:42,1/31/2016 20:48,34.02306,-84.36167
1/24/2016 17:06,Product1,1200,Visa,Tracey,Saint Catharines,Ontario,Canada,1/24/2016 15:51,1/31/2016 21:10,43.1666667,-79.2333333
1/3/2016 9:58,Product1,1200,Visa,Anja,Gainesville                 ,VA,United States,10/19/2015 8:27,1/31/2016 22:19,38.79556,-77.61417
1/9/2016 16:35,Product1,1200,Diners,Jennifer,Nordstrand,Oslo,Norway,12/29/2005 9:26,2/1/2016 4:18,59.8608333,10.7905556
1/12/2016 14:50,Product1,1200,Visa,Holly,Arlington                   ,MA,United States,1/12/2016 9:54,2/1/2016 7:36,42.41528,-71.15694
1/7/2016 13:49,Product1,1200,Diners,megan,West Hills                  ,CA,United States,1/7/2016 12:36,2/1/2016 8:20,34.20111,-118.59722
1/9/2016 19:41,Product1,1200,Mastercard,Tarah,San Jose                    ,CA,United States,1/5/2016 18:02,2/1/2016 9:18,37.33944,-121.89389
1/26/2016 4:53,Product1,1200,Visa,Gerardo,London,England,United Kingdom,1/26/2016 4:12,2/1/2016 9:48,51.52721,0.14559
1/23/2016 21:41,Product1,1200,Visa,Joanne,Oak Park                    ,MI,United States,12/26/2015 11:00,2/1/2016 9:51,42.45944,-83.18278
1/6/2016 16:07,Product1,1200,Visa,Margaret,Terrell Hills               ,TX,United States,12/21/2015 12:21,2/1/2016 10:06,29.42389,-98.49333
1/10/2016 7:55,Product1,1200,Visa,Laura,Jumeira,Dubayy,United Arab Emirates,1/7/2016 9:47,2/1/2016 10:18,25.2097222,55.2477778
1/28/2016 20:44,Product1,1200,Visa,Whitney,Falmouth                    ,VA,United States,1/28/2016 19:36,2/1/2016 11:33,38.32389,-77.46861
1/9/2016 3:38,Product1,1200,Visa,Ravinder,Lurgan,Northern Ireland,United Kingdom,6/3/2015 4:22,2/1/2016 11:53,54.4666667,-6.3333333
1/19/2016 8:52,Product1,1200,Visa,Pam,Richmond                    ,TX,United States,1/6/2016 15:24,2/1/2016 11:53,29.58194,-95.76056
1/15/2016 7:26,Product1,1200,Mastercard,Celina,Den Haag,Zuid-Holland,Netherlands,1/14/2016 0:00,2/1/2016 13:17,52.0833333,4.3
1/30/2016 19:12,Product1,1200,Diners,Heather,Ooltewah                    ,TN,United States,1/30/2016 18:54,2/1/2016 13:51,35.075,-85.06222
1/5/2016 12:41,Product1,1200,Mastercard,Kathryn,Pacific Beach               ,CA,United States,1/5/2016 11:50,2/1/2016 14:28,32.79778,-117.23944
1/28/2016 20:59,Product1,1200,Visa,Michele ,Austin                      ,TX,United States,1/28/2016 9:40,2/1/2016 15:00,30.26694,-97.74278
1/10/2016 21:36,Product1,1200,Visa,Craig,Seattle                     ,WA,United States,8/10/2015 16:47,2/1/2016 15:27,47.60639,-122.33083
1/25/2016 19:59,Product1,1200,Visa,Kim,Seattle                     ,WA,United States,8/13/2015 18:27,2/1/2016 16:04,47.60639,-122.33083
1/7/2016 8:03,Product1,1200,Amex,maria,Ottawa,Ontario,Canada,4/17/2005 22:28,2/1/2016 18:52,45.4166667,-75.7
1/21/2016 9:07,Product1,1200,Visa,Elaine,Vienna                      ,VA,United States,4/2/2015 9:59,2/1/2016 21:07,38.90111,-77.26556
1/23/2016 14:43,Product1,1200,Visa,Madison,Torbay,Auckland,New Zealand,1/18/2016 11:34,2/1/2016 21:31,-36.7,174.75
