Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
1/13/2016 19:39,Product1,1200,Visa,Jolene ,Englewood                   ,CO,United States,1/6/2016 22:00,1/14/2016 22:02,39.64778,-104.98722
1/8/2016 7:26,Product1,1200,Mastercard,anne,Bournemouth,England,United Kingdom,1/25/2015 15:46,1/15/2016 1:36,50.7166667,-1.8833333
1/15/2016 2:40,Product1,1200,Mastercard,Alexis,Genoa                       ,IL,United States,1/15/2016 2:04,1/15/2016 2:04,42.09722,-88.69278
1/12/2016 6:40,Product1,1200,Visa,Dez,Al 'Adliyah,Al Manamah,Bahrain,1/10/2016 12:50,1/15/2016 4:46,26.2172222,50.5405556
1/15/2016 3:43,Product1,1200,Visa,Stephanie,Rouen,Upper Normandy,France,12/26/2015 9:01,1/15/2016 5:39,49.4333333,1.0833333
1/5/2016 15:39,Product1,1200,Visa,Melissa ,Parkland                    ,FL,United States,12/10/2015 9:14,1/15/2016 6:01,26.30972,-80.2375
1/10/2016 5:21,Product1,1200,Amex,CLARE,San Francisco               ,CA,United States,1/10/2016 0:07,1/15/2016 6:25,37.775,-122.41833
1/15/2016 4:12,Product1,1200,Mastercard,catherine,Keller                      ,VA,United States,1/15/2016 4:02,1/15/2016 6:59,37.61917,-75.76417
1/12/2016 11:48,Product1,1200,Visa,Veronique ,Tsawwassen,British Columbia,Canada,7/24/2015 15:48,1/15/2016 8:56,49.0166667,-123.0833333
1/6/2016 10:48,Product1,1200,Mastercard,Bruce and Camille,Clinton                     ,NJ,United States,8/21/2007 21:19,1/15/2016 9:32,40.63667,-74.91028
1/14/2016 9:10,Product1,1200,Mastercard,Ellen,Owensboro                   ,KY,United States,1/14/2016 8:25,1/15/2016 9:40,37.77417,-87.11333
1/14/2016 22:44,Product1,1200,Visa,Amy,Lakewood Village            ,TX,United States,1/14/2016 22:21,1/15/2016 9:50,33.1425,-96.96917
1/6/2016 7:23,Product1,1200,Visa,Anna,Okotoks,Alberta,Canada,7/21/2015 12:03,1/15/2016 10:00,50.7166667,-113.9666667
1/1/2016 5:04,Product1,1200,Mastercard,Regina,Glimmen,Groningen,Netherlands,12/16/2002 4:09,1/15/2016 10:50,53.1333333,6.6333333
1/15/2016 11:56,Product1,1200,Visa,Heidi,Calgary,Alberta,Canada,1/14/2016 9:16,1/15/2016 11:39,51.0833333,-114.0833333
1/15/2016 11:58,Product1,1200,Visa,Jessica,Kanata,Ontario,Canada,1/14/2016 5:59,1/15/2016 11:49,45.3333333,-75.9
1/12/2016 9:43,Product1,1200,Diners,Petra,Bergen,Nordrhein-Westfalen,Germany,1/7/2016 8:39,1/15/2016 12:14,51.7166667,6.5
1/15/2016 12:33,Product1,1200,Visa,Brian,College Park                ,MD,United States,1/15/2016 12:19,1/15/2016 13:28,38.98056,-76.93722
1/14/2016 11:35,Product1,1200,Visa,Kenny,Kailua Kona                 ,HI,United States,1/13/2016 17:42,1/15/2016 15:31,19.7349,-155.9003
1/14/2016 15:40,Product1,1200,Amex,ayse,Redondo Beach               ,CA,United States,1/13/2016 19:37,1/15/2016 15:45,33.84917,-118.3875
1/3/2016 11:08,Product1,1200,Amex,Maria and Timothy,Fountain Hls                ,AZ,United States,6/5/2006 22:42,1/15/2016 16:37,33.61167,-111.71667
1/12/2016 1:37,Product1,1200,Visa,IMAN,Brisbane,Queensland,Australia,1/12/2016 1:26,1/15/2016 17:54,-27.5,153.0166667
1/16/2016 7:21,Product1,2100,Mastercard,Gerald,Mahopac                     ,NY,United States,11/3/2015 14:28,1/16/2016 6:08,41.37222,-73.73389
1/15/2016 12:54,Product1,1200,Mastercard,Annelies,Ile-Perrot,Quebec,Canada,1/15/2016 12:22,1/16/2016 7:53,45.4,-73.9333333
1/7/2016 7:19,Product1,1200,Amex,Jocelyn,Bruxelles,Brussels (Bruxelles),Belgium,6/30/2015 9:33,1/16/2016 8:54,50.8333333,4.3333333
1/3/2016 9:56,Product1,1200,Visa,Kara,Chicago                     ,IL,United States,12/31/2015 16:26,1/16/2016 13:43,41.85,-87.65
1/16/2016 17:41,Product1,1200,Visa,Orsi,Rayford                     ,TX,United States,1/16/2016 17:01,1/16/2016 17:56,30.07972,-95.41694
1/5/2016 5:33,Product1,1200,Visa,Ben,Escondido                   ,CA,United States,1/5/2016 3:19,1/17/2016 0:35,33.11917,-117.08556
1/2/2016 0:50,Product1,1200,Visa,Sam,Tesvikiye,Istanbul,Turkey,1/2/2016 0:10,1/17/2016 1:57,40.6166667,29.0666667
1/13/2016 1:51,Product1,1200,Visa,Filip and Teresa,Centurion,Gauteng,South Africa,1/12/2016 1:40,1/17/2016 2:23,-25.8744444,28.1705556
1/15/2016 10:24,Product1,1200,Visa,Grace ,York,England,United Kingdom,1/13/2016 12:30,1/17/2016 4:42,53.9666667,-1.0833333
1/11/2016 8:59,Product1,1200,Visa,Chelsey ,Ashburn                     ,VA,United States,11/9/2015 5:53,1/17/2016 8:54,39.04361,-77.48778
1/15/2016 15:56,Product1,1200,Amex,Charis,Los Angeles                 ,CA,United States,11/11/2005 11:49,1/17/2016 10:54,34.05222,-118.24278
1/1/2016 12:19,Product1,1200,Visa,Marlene,Edgewood                    ,WA,United States,1/16/2006 14:45,1/17/2016 11:38,47.25028,-122.2925
1/6/2016 14:03,Product1,1200,Visa,Fie,New York                    ,NY,United States,5/1/2015 8:26,1/17/2016 11:44,40.71417,-74.00639
1/9/2016 15:32,Product1,1200,Diners,Nicole ,Basingstoke,England,United Kingdom,1/7/2016 12:31,1/17/2016 12:03,51.2666667,-1.0833333
1/17/2016 12:59,Product1,1200,Diners,Linda,Den Haag,Zuid-Holland,Netherlands,10/29/2015 13:09,1/17/2016 13:07,52.0833333,4.3
1/12/2016 12:37,Product1,1200,Visa,Janet,Marietta                    ,GA,United States,9/13/2007 14:20,1/17/2016 16:17,33.9525,-84.55
1/4/2016 7:43,Product1,1200,Mastercard,Jamie,Houston                     ,TX,United States,1/4/2016 6:51,1/17/2016 17:31,29.76306,-95.36306
1/17/2016 16:22,Product1,1200,Visa,Chad,West Orange                 ,NJ,United States,1/17/2016 15:22,1/17/2016 18:42,40.79861,-74.23944
1/1/2016 3:51,Product1,1200,Mastercard,sunny,Amsterdam,Noord-Holland,Netherlands,9/14/2005 22:53,1/17/2016 22:34,52.35,4.9166667
1/18/2016 5:27,Product1,1200,Visa,Anna,Downey                      ,CA,United States,1/18/2016 4:28,1/18/2016 4:42,33.94,-118.13167
1/18/2016 5:15,Product1,1200,Diners,Roger,Urlingford,Kilkenny,Ireland,1/18/2016 4:44,1/18/2016 4:44,52.7205556,-7.5825
1/1/2016 1:51,Product1,1200,Mastercard,Si,Holte,Kobenhavn,Denmark,12/14/2005 15:46,1/18/2016 4:44,55.8166667,12.4666667
1/18/2016 6:30,Product1,1200,Visa,Sherri,Freienbach,Schwyz,Switzerland,6/22/2015 14:10,1/18/2016 6:21,47.2,8.75
1/11/2016 10:51,Product1,1200,Mastercard,Katherine,Hofheim am Taunus,Hessen,Germany,12/6/2015 1:34,1/18/2016 7:17,50.0833333,8.45
1/4/2016 17:02,Product1,1200,Mastercard,Clare,Lafayette                   ,CA,United States,12/31/2005 0:55,1/18/2016 8:43,37.88583,-122.11694
1/17/2016 1:23,Product1,1200,Amex,Campbell,Mushrif,,Kuwait,1/16/2016 14:26,1/18/2016 9:08,29.2891667,48.05
1/18/2016 2:16,Product1,1200,Visa,Ruth,Nashville                   ,AR,United States,1/16/2016 19:32,1/18/2016 9:13,33.94556,-93.84694
1/18/2016 11:34,Product2,3600,Visa,Cheryl,New Malden,England,United Kingdom,10/28/2005 14:57,1/18/2016 10:27,51.4166667,-0.25
1/18/2016 4:38,Product1,1200,Visa,Doug,Bishop Auckland,England,United Kingdom,12/28/2007 13:39,1/18/2016 11:58,54.65,-1.6666667
1/18/2016 13:26,Product3,7500,Mastercard,Julianne,Navan,Meath,Ireland,1/18/2016 12:20,1/18/2016 12:20,53.6527778,-6.6813889
1/18/2016 11:53,Product1,1200,Visa,Shailesh,Joppa,MD,United States,1/18/2016 0:00,1/18/2016 12:23,39.43361,-76.35806
1/18/2016 12:04,Product1,1200,Visa,Conrad,Joppa,MD,United States,1/18/2016 0:00,1/18/2016 12:23,39.43361,-76.35806
1/13/2016 19:54,Product1,1200,Diners,Alison,Hampton                     ,NJ,United States,1/3/2006 6:09,1/18/2016 12:51,40.70694,-74.95639
1/5/2016 21:06,Product1,1200,Mastercard,Tracy,Louisville                  ,KY,United States,1/5/2016 16:27,1/18/2016 13:58,38.25417,-85.75944
