Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
1/23/2016 16:30,Product2,3600,Amex,Christophe,Temecula                    ,CA,United States,1/9/2016 15:59,2/14/2016 19:11,33.49361,-117.1475
1/5/2016 12:57,Product1,1200,Diners,Manoj,Boise                       ,ID,United States,1/5/2016 9:32,2/14/2016 19:19,43.61361,-116.2025
1/29/2016 16:52,Product1,1200,Visa,Brenda,Rock Hill                   ,SC,United States,1/25/2016 12:00,2/14/2016 19:34,34.92472,-81.02528
1/10/2016 0:04,Product1,1200,Mastercard,Lizelle ,Mililani                    ,HI,United States,1/9/2016 23:37,2/14/2016 19:34,21.42556,-157.96083
1/3/2016 14:17,Product2,3600,Visa,Kees en Valesca,Scamander,Tasmania,Australia,1/3/2016 13:53,2/14/2016 20:11,-41.465,148.2572222
1/15/2016 9:00,Product1,1200,Visa,Cormac,Freeport City,Freeport,The Bahamas,1/15/2016 8:10,2/14/2016 20:36,26.5333333,-78.7
1/24/2016 20:58,Product1,1200,Visa,jacqueline,North Vancouver,British Columbia,Canada,12/28/2015 15:54,2/14/2016 22:12,49.3166667,-123.0666667
1/10/2016 11:53,Product1,1200,Visa,Martin,Ludwigsburg,Baden-Wurttemberg,Germany,1/17/2015 8:20,2/15/2016 1:42,48.9,9.1833333
1/4/2016 17:34,Product1,1200,Mastercard,Dean,Rockingham,Western Australia,Australia,10/20/2007 19:09,2/15/2016 2:14,-32.2833333,115.7166667
1/28/2016 0:22,Product1,1200,Visa,VERBENA,Basel,Basel-Town,Switzerland,9/27/2015 0:24,2/15/2016 3:20,47.5666667,7.6
1/17/2016 1:49,Product1,1200,Mastercard,Angel Marie,Den Haag,Zuid-Holland,Netherlands,1/13/2016 5:09,2/15/2016 5:19,52.0833333,4.3
1/25/2016 17:48,Product1,1200,Visa,olla,Westminster                 ,CO,United States,1/24/2016 23:48,2/15/2016 8:08,39.83667,-105.03667
1/22/2016 5:39,Product2,3600,Visa,Eman,Penclawdd,Wales,United Kingdom,1/14/2016 13:33,2/15/2016 8:34,51.6333333,-4.1
1/19/2016 15:40,Product2,3600,Visa,Julia,Ede,Gelderland,Netherlands,1/19/2016 14:32,2/15/2016 10:33,52.0333333,5.6666667
1/21/2016 23:52,Product1,1200,Visa,Sarah,Plan-les-Ouattes,Geneve,Switzerland,11/23/2015 4:51,2/15/2016 11:16,46.1666667,6.1166667
1/19/2016 13:15,Product1,1200,Visa,Esther,Stocksund,Stockholm,Sweden,5/29/2007 1:32,2/15/2016 11:39,59.3833333,18.0666667
1/16/2016 7:35,Product1,1200,Diners,amy,Stuttgart,Baden-Wurttemberg,Germany,10/6/2006 2:02,2/15/2016 12:00,48.7666667,9.1833333
1/22/2016 9:48,Product2,3600,Mastercard,Jyoti,Tunbridge Wells,England,United Kingdom,1/8/2015 14:37,2/15/2016 13:36,51.1333333,0.2833333
1/18/2016 12:05,Product2,3600,Visa,Keri,Issaquah                    ,WA,United States,1/5/2016 19:24,2/15/2016 13:40,47.53028,-122.03139
1/4/2016 10:44,Product1,1200,Diners,Paul,Burnaby,British Columbia,Canada,11/26/2015 20:16,2/15/2016 13:46,49.25,-122.95
1/20/2016 14:55,Product1,1200,Mastercard,Attie,Cypress                     ,CA,United States,9/27/2015 7:22,2/15/2016 15:23,33.81694,-118.03639
1/2/2016 18:41,Product1,1200,Visa,odile,Lititz                      ,PA,United States,2/1/2006 8:47,2/15/2016 15:47,40.15722,-76.30722
1/2/2016 7:03,Product1,1200,Visa,gail ,London,England,United Kingdom,5/24/2015 11:10,2/15/2016 16:04,51.52721,0.14559
